Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
NSGA2,1,400,210,400,8.958378,0.014604368022171955,0.025130850522070956,0.8360110893452359,0.003031853691022184,1.527655576032523e-05
NSGA2,1,400,215,400,9.003861,0.014383306344166468,0.02501099036033848,0.8374754402833534,0.0031526962592016245,1.6529865340062407e-05
NSGA2,1,400,220,400,9.423579,0.014368316001109431,0.02533796196030141,0.8374956423953526,0.003131140270298327,1.6304598180662774e-05
NSGA2,1,400,225,400,9.232032,0.014491754055047865,0.024832583189056907,0.8393308756511593,0.0036627008037615244,2.2006656382061983e-05
NSGA2,1,400,230,400,11.755354,0.014429002159921999,0.02435292269652719,0.8404499367861387,0.0036986722787219943,2.1324350839732054e-05
NSGA2,1,400,235,400,8.688152,0.013965623868164119,0.024399738661086735,0.840452117804245,0.0036397504847944483,2.06113589428597e-05
NSGA2,1,400,240,400,9.891848,0.013938065927397074,0.023994406719259127,0.8405733692338337,0.0030807430933633374,1.4766391153307832e-05
NSGA2,1,400,245,400,9.325675,0.013910799886380927,0.024103479384021007,0.8406544489348933,0.003176230682812229,1.5730080986518527e-05
NSGA2,1,400,250,400,10.766106,0.014443496136905236,0.02451487884914411,0.8408617801173156,0.003391170799612799,1.8096245081134837e-05
NSGA2,1,400,255,400,10.186864,0.014185733585465217,0.024490105088666368,0.8408898927488407,0.003455298645089998,1.867314177995519e-05
NSGA2,1,400,260,400,10.732465,0.01429419755258941,0.02428323545109275,0.8414707090394002,0.003232743404450298,1.631804737948061e-05
NSGA2,1,400,265,400,10.930535,0.01396705939739503,0.024180074946518696,0.8434519715813981,0.0031757591031681878,1.591654172304706e-05
NSGA2,1,400,270,400,10.906336,0.014041907345822684,0.024245999380218007,0.8434641411557893,0.0030791778387263833,1.4708805976607188e-05
NSGA2,1,400,275,400,10.864759,0.013875032481709093,0.022320388350403984,0.8486488291959947,0.003846371387173075,2.2097806082221166e-05
NSGA2,1,400,280,400,10.611653,0.013476634203958464,0.022133773595383304,0.8488794731261329,0.0037280498154324293,2.075917745157276e-05
NSGA2,1,400,285,400,11.787146,0.013138744951777491,0.022053127634037713,0.8538489857214159,0.0034927750719661275,1.816434200590433e-05
NSGA2,1,400,290,400,11.793341999999999,0.013468664341026983,0.02159408430502186,0.8540748620511924,0.0034307512711831125,1.7326333962877128e-05
